,movie_runtime,log_revenues,Revenue_with_inflation,Interval
2628,106.0,20.607958417292778,891092162.5513954,60-120
2629,106.0,19.88205702497228,431188981.86535126,60-120
2630,107.0,19.233545162494366,225435616.67285848,60-120
2631,127.0,19.35990671524774,255800068.5898941,120-180
2632,107.0,20.526569259381677,821439838.7797881,60-120
2633,95.0,16.20040378641957,10857903.287921077,60-120
2634,110.0,17.11699720932825,27152975.938402306,60-120
2635,94.0,18.091114529643185,71923565.99100095,60-120
2636,105.0,16.464854778372064,14144759.75846968,60-120
2637,87.0,18.082202460413583,71285425.98926851,60-120
2638,97.0,16.407771036892235,13359937.352694897,60-120
2639,100.0,17.978380830671032,64255689.52074109,60-120
2640,113.0,18.40360917526318,98307332.48479305,60-120
2641,100.0,17.77219247313198,52283556.54177093,60-120
2642,96.0,17.843211914745382,56131736.00577477,60-120
2643,96.0,17.920934381965154,60668451.845524535,60-120
2644,118.0,16.433138705338397,13703183.078922039,60-120
2645,113.0,16.98293123400583,23746156.268142443,60-120
2646,105.0,19.31698421936038,245052791.145332,60-120
2647,122.0,17.92788417887409,61091553.79797882,120-180
2648,116.0,15.581173148768855,5845444.212800769,60-120
2649,100.0,16.745723932337377,18731626.919441767,60-120
2650,84.0,17.21197698751712,29858406.6365255,60-120
2651,111.0,19.097015708473435,196665664.11713183,60-120
2652,114.0,17.02604825243888,24792413.38498556,60-120
2653,115.0,17.688994066535983,48109685.01814244,60-120
2654,91.0,17.50824001230203,40154296.83979788,60-120
2655,114.0,18.53995555481973,112667949.95187679,60-120
2656,90.0,17.869466724017897,57624980.68046197,60-120
2657,101.0,18.286418354438823,87436061.1446102,60-120
2658,135.0,13.355058436542686,630998.2931595092,120-180
2659,81.0,10.131771093527519,25128.830552147236,60-120
2660,102.0,19.505725821524624,295957322.61085886,60-120
2661,88.0,13.135526964863768,506625.3044478527,60-120
2662,94.0,16.425095146549054,13593402.824079754,60-120
2663,95.0,16.66661262661623,17306844.66533742,60-120
2664,130.0,19.314581225158726,244464637.65684047,120-180
2665,88.0,14.554504540323915,2093828.0266564416,60-120
2666,124.0,18.30887945473541,89422193.13871165,120-180
2667,123.0,17.043475694270715,25228268.616687115,120-180
2668,119.0,14.476545710362165,1936796.1762883435,60-120
2669,115.0,16.2460635649296,11365165.358098159,60-120
2670,103.0,16.48915694825039,14492719.071073618,60-120
2671,118.0,16.651563111329484,17048335.142576687,60-120
2672,105.0,15.075561821337113,3525602.2169938646,60-120
2673,181.0,19.363180459390037,256638864.8190184,180-240
2674,95.0,19.215431873235683,221388995.58579752,60-120
2675,95.0,16.215067356902548,11018291.9796319,60-120
2676,100.0,15.950601716744233,8457817.476042945,60-120
2677,100.0,19.78805870129562,392504555.42417175,60-120
2678,122.0,14.987909040747368,3229729.8074233127,120-180
2679,84.0,17.80673389568502,54121057.213036805,60-120
2680,107.0,16.816938718385035,20114242.785460122,60-120
2681,96.0,15.620610203412145,6080577.320184048,60-120
2682,106.0,13.890419054227426,1077785.5249693252,60-120
2683,121.0,18.985780091330017,175962258.79282206,120-180
2684,86.0,18.408846568165643,98823557.26619631,60-120
2685,98.0,16.311031551780466,12128050.512208588,60-120
2686,110.0,14.54310382576881,2070092.449355828,60-120
2687,82.0,17.812930529781404,54457466.82868098,60-120
2688,94.0,17.11247100442313,27030353.721503064,60-120
2689,121.0,18.65908863906384,126922679.86598158,120-180
2690,103.0,19.12448689846604,202143196.63797545,60-120
2691,91.0,14.072353503528683,1292842.0642331287,60-120
2692,82.0,17.26066849389039,31348234.068098158,60-120
2693,119.0,20.313946000983034,664101794.714141,60-120
2694,103.0,19.977151532009493,474205595.7892944,60-120
2695,96.0,17.00962460634696,24388557.036503065,60-120
2696,90.0,15.226697975851804,4100821.9034969322,60-120
2697,94.0,11.166029023705947,70687.85279141103,60-120
2698,91.0,17.69685618457545,48489419.84457055,60-120
2699,89.0,18.326526613889136,91014247.11128834,60-120
2700,108.0,14.550090762813646,2084606.7010122698,60-120
2701,102.0,17.94352569753862,62054630.83546012,60-120
2702,91.0,17.691961256495343,48252647.58613496,60-120
2703,101.0,11.679512968715555,118126.68966257668,60-120
2704,119.0,19.92549630883208,450332298.27745396,60-120
2705,111.0,18.934507271381534,167167568.4803374,60-120
2706,115.0,14.829004357857839,2755210.372361963,60-120
2707,111.0,17.703983388885742,48836248.337300606,60-120
2708,93.0,18.722800403711346,135272308.3543558,60-120
2709,113.0,17.305066935712354,32771406.355950918,60-120
2710,109.0,18.01547977888327,66684278.5285276,60-120
2711,89.0,18.28407820157243,87231686.62257668,60-120
2712,112.0,16.136455777665535,10185297.101012269,60-120
2713,94.0,10.263711481248999,28673.008282208586,60-120
2714,107.0,17.411807708942362,36462967.298527606,60-120
2715,104.0,18.625206101671445,122694256.79162575,60-120
2716,104.0,14.985250498061527,3221154.8363803676,60-120
2717,45.0,19.029786607504434,183878653.74628833,0-60
2718,170.0,18.98701292302419,176179324.41763803,120-180
2719,159.0,17.046668710296952,25308951.625214722,120-180
2720,95.0,17.389994389641434,35676201.137331285,60-120
2721,169.0,20.578368793256246,865111357.1987423,120-180
2722,100.0,18.41703089412145,99635680.27748466,60-120
2723,127.0,17.682298896186317,47788658.34478527,120-180
